Gasto por turista y día,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Total,Canarias,Total,2025 2,2025 1,2024.0,2024 4,2024 3,2024 2,2024 1,2023.0,2023 4,2023 3 ,2023 2,2023 1,2022.0,2022 4,2022 3,2022 2,2022 1,2021.0,2021 4,2021 3,2021 2,2021 1,2020.0,2020 4,2020 3,2020 2,2020 1 ,2019.0,20219 4,20219 3,2019 2,2019 1,2018.0,2018 4,2018 3,2018 2,2018 1
Total,Canarias,España (excluida Canarias),157.94,180.97,177.56,176.07,187.29,166.84,179.51,168.87,170.28,180.28,155.44,168.52,160.53,164.43,171,152.21,152.92,143.05,151.34,136.67,132.1,129.25,135.31,124.49,117.07,0,142.78,137.45,145.47,146.08,138.57,121.04,142.45,148.1,149.46,138.86,133.59
Total,Canarias,Alemania,142.5,159.38,153.13,154.94,161.24,140.66,154.39,143.68,142.04,155.35,144.2,127.87,139.09,137.83,148.18,138.41,124.66,123.31,126.42,122.87,123.26,114.59,119.33,111.05,111.85,0,132.48,130.77,132.9,135.91,139.78,110.43,135.02,136.57,141.26,133.84,124.73
Total,Canarias,Países Bajos,145.6,169.19,171.89,167.86,182.18,153.2,181.83,164.57,166.01,175.07,150.57,166.43,153.37,163.65,163.82,139.5,143.79,148.35,156.41,139.43,140.43,136.51,131.75,133.78,124.78,0,132.93,130.15,135.6,139.59,129.11,119.19,135.7,140.64,137.96,134.35,129.81
Total,Canarias,Países Nórdicos,162.73,176.14,177.92,175.41,187.27,183.67,167.44,170.93,162.32,169.93,176.49,177.66,168.62,157.72,172.88,174.21,170.74,147.18,148.37,151.4,130.32,104.95,134.89,111.22,129.96,0,138.73,131.67,143.4,137.47,125.24,119.42,134.95,139.36,139.84,140.89,121.63
Total,Canarias,Reino Unido,168.86,183.16,183.76,196.86,172.52,146.9,180.9,182.03,183.26,172.76,155.15,188.57,184.89,194.04,171.83,163.32,185.69,172.43,177.23,163.6,129.3,133.41,158.48,127.97,83.36,0,160.22,152.05,163.97,138.79,165.35,140.65,155.32,164.58,139.56,158.88,149.64
Total,Canarias,Otro,170.32,193.62,191.38,190,200.86,184.94,189.73,176.4,177.91,192.38,158.03,176.05,170.18,167.07,190.39,164.56,155.4,151.42,157.15,140.27,120.92,91.94,137.26,120.24,113.8,0,143.41,140.96,153.69,152.18,138.57,118.41,146.92,153.24,165.37,136.69,131.61
Total,Lanzarote,Total,153.6,180.63,171.58,163.22,186.72,160.81,175.43,169.11,169.4,184.03,157.47,165.34,154.6,160.21,163.46,144.12,148.97,141.44,143.04,142.75,136.47,137.17,137.32,133.67,120.7,0,143.71,136.9,137.3,151.38,141.7,117.34,141.58,143.57,145.39,144.54,132.52
Total,Lanzarote,España (excluida Canarias),154.56,185.84,178.55,177.87,192.19,166.89,177.04,168.55,177.07,176.15,151.16,167.55,160.7,164.48,167.47,156.99,151.29,140.02,143.17,139.78,124.39,134.62,138.56,125.35,122.69,0,145.83,134.01,145.92,146.84,130.64,112.28,144.39,156.94,160.13,134.3,125.43
Total,Lanzarote,Alemania,130.64,176.06,165.36,156.44,182.25,147.81,171.77,156.96,159.56,170.02,141.8,149.01,142.87,144.03,154.46,142.1,116.48,125.45,117.27,134.05,112.68,123.4,119.43,113.33,119.13,0,124.07,133.98,136.11,150.6,133.65,103.46,155.61,157.55,166.35,153.06,136.7
